[11:18:09:080] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6a79c292: startup date [Wed Jan 03 11:18:09 CST 2018]; root of context hierarchy
[11:18:43:474] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6a79c292: startup date [Wed Jan 03 11:18:43 CST 2018]; root of context hierarchy
[11:19:31:354] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6a79c292: startup date [Wed Jan 03 11:19:31 CST 2018]; root of context hierarchy
[11:23:41:635] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6a79c292: startup date [Wed Jan 03 11:23:41 CST 2018]; root of context hierarchy
[11:23:46:154] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ffcd140: startup date [Wed Jan 03 11:23:46 CST 2018]; root of context hierarchy
[11:24:15:653] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ffcd140: startup date [Wed Jan 03 11:24:15 CST 2018]; root of context hierarchy
[11:25:33:570] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@41a0aa7d: startup date [Wed Jan 03 11:25:33 CST 2018]; root of context hierarchy
[11:29:46:786] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4686afc2: startup date [Wed Jan 03 11:29:46 CST 2018]; root of context hierarchy
[11:30:33:664] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4686afc2: startup date [Wed Jan 03 11:30:33 CST 2018]; root of context hierarchy
[11:30:53:426] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4686afc2: startup date [Wed Jan 03 11:30:53 CST 2018]; root of context hierarchy
[11:31:13:158] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@41a0aa7d: startup date [Wed Jan 03 11:31:13 CST 2018]; root of context hierarchy
[11:31:32:658] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4686afc2: startup date [Wed Jan 03 11:31:32 CST 2018]; root of context hierarchy
[11:32:24:575] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@41a0aa7d: startup date [Wed Jan 03 11:32:24 CST 2018]; root of context hierarchy
[11:32:36:505] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ffcd140: startup date [Wed Jan 03 11:32:36 CST 2018]; root of context hierarchy
[11:33:16:247] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ffcd140: startup date [Wed Jan 03 11:33:16 CST 2018]; root of context hierarchy
[11:33:49:241] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6a79c292: startup date [Wed Jan 03 11:33:49 CST 2018]; root of context hierarchy
[11:33:55:809] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ffcd140: startup date [Wed Jan 03 11:33:55 CST 2018]; root of context hierarchy
[11:34:07:783] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ffcd140: startup date [Wed Jan 03 11:34:07 CST 2018]; root of context hierarchy
[11:38:19:823] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583) - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ffcd140: startup date [Wed Jan 03 11:38:19 CST 2018]; root of context hierarchy
